Relacion; Herrera (freq. relat.); P2 (freq. relat.);Pacheco (freq. relat.);Media;SD;Herrera (z-score);P2 (z-score);Pacheco;P2vsHerrera;P2vsPacheco
DA NC RG;1,86;2,17;2,25;2,093333333;0,205993527;-1,132721675;0,372179979;0,760541696;1,504901653;0,388361717
RN VM SP;2,13;1,93;1,43;1,83;0,360555128;0,832050294;0,277350098;-1,109400392;0,554700196;1,386750491
SP PP VM;2,23;1,8;1,23;1,753333333;0,501630674;0,950234288;0,09302993;-1,043264219;0,857204358;1,136294149
AQ SP DA;1,91;1,9;2,45;2,086666667;0,31469562;-0,561389023;-0,59316576;1,154554783;0,031776737;1,747720543
AQ DA NC;1,73;2,2;2,04;1,99;0,238956063;-1,088066136;0,878822648;0,209243488;1,966888784;0,669579161
AQ VM SP;1,78;2,07;2,45;2,1;0,336005952;-0,952364081;-0,089284133;1,041648214;0,863079948;1,130932346
NC RG VM;1,93;2;1,43;1,786666667;0,310859025;0,461087895;0,686270355;-1,14735825;0,22518246;1,833628605
VM RG SP;2,03;1,9;1,02;1,65;0,549454275;0,691595311;0,454996915;-1,146592226;0,236598396;1,601589141
RN PP VM;2,23;1,56;1,43;1,74;0,429301759;1,141388289;-0,419285494;-0,722102795;1,560673784;0,302817301
CC NC SP;1,73;1,97;2,86;2,186666667;0,595343038;-0,767064763;-0,363935836;1,1310006;0,403128927;1,494936436
NC PR SP;2,46;1,12;1,84;1,806666667;0,670621602;0,974220531;-1,02392566;0,049705129;1,998146191;1,073630789
NC VM DA;1,88;1,97;1,23;1,693333333;0,403773864;0,462304976;0,685202018;-1,147506995;0,222897042;1,832709013
VM CS SP;1,93;1,76;1,84;1,843333333;0,085049005;1,019020342;-0,979827252;-0,03919309;1,998847594;0,940634162
CS DP NC;1,71;2,2;1,02;1,643333333;0,592818128;0,1124572;0,939017618;-1,051474817;0,826560418;1,990492435
DP NC RG;1,88;2,07;0,41;1,453333333;0,908533617;0,469621221;0,678749421;-1,148370642;0,2091282;1,827120063
AQ SP DP;1,51;2,2;1,84;1,85;0,345108679;-0,985196899;1,014173279;-0,028976379;1,999370178;1,043149658
DA NC AP;1,86;1,93;0,21;1,333333333;0,973464603;0,541022925;0,612931035;-1,15395396;0,07190811;1,766884995
DI AQ NC;1,71;1,9;1,63;1,746666667;0,138684294;-0,264389468;1,105628685;-0,841239217;1,370018153;1,946867902
NC SP PR;1,86;1,7;1,63;1,73;0,117898261;1,102645609;-0,254456679;-0,84818893;1,357102287;0,593732251
NC CS SP;1,51;2;2,65;2,053333333;0,571868283;-0,950102234;-0,093261569;1,043363803;0,856840665;1,136625372
VM DI NC;1,83;1,59;1,84;1,753333333;0,141539158;0,541664;-1,153979826;0,612315826;1,695643827;1,766295653
NC SP VM;2,03;1,26;2,25;1,846666667;0,519839719;0,352672808;-1,128552985;0,775880177;1,481225793;1,904433163
AQ CC SP;1,61;1,87;1,63;1,703333333;0,144683563;-0,645085949;1,151939194;-0,506853245;1,797025143;1,658792439
RG AQ NC;1,93;1,36;2,04;1,776666667;0,365011415;0,420078186;-1,141516811;0,721438624;1,561594997;1,862955435
NC VM CS;1,91;1,32;2,45;1,893333333;0,565184336;0,029488904;-1,014418301;0,984929396;1,043907205;1,999347697
DD AQ NC;1,66;1,93;0,41;1,333333333;0,81094595;0,40282175;0,735766258;-1,138588008;0,332944508;1,874354266
NP DA NC;1,31;1,83;3,87;2,336666667;1,353119852;-0,758740377;-0,374443303;1,13318368;0,384297074;1,507626983
RG VM VM;1,83;1,63;0,62;1,36;0,648613907;0,724622144;0,416272296;-1,14089444;0,308349849;1,557166736
CC PP VM;2,03;1,29;0,82;1,38;0,61;1,06557377;-0,147540984;-0,918032787;1,213114754;0,770491803
DA VM NC;1,88;1,39;1,23;1,5;0,338673884;1,122023331;-0,324796227;-0,797227104;1,446819559;0,472430876
PR VM DA;1,88;1,32;1,63;1,61;0,280535203;0,962446058;-1,033738358;0,071292301;1,996184416;1,105030659
