Bigrama, Herrera (freq. relat.), P2 (freq. relat.),Pacheco (freq. relat.),Media,SD,Herrera (z-score),P2 (z-score),Pacheco (z-score),P2 vs Herrera,P2 vs Pacheco
NP CS,0.76,0.94,2.49,1.396666667,0.951122144,-0.669384758,-0.480134617,1.149519376,0.189250141,1.629653993
SP PT,1.02,0.91,0.36,0.763333333,0.353600528,0.725866186,0.414780678,-1.140646864,0.311085508,1.555427542
DP VM,0.89,0.97,0.89,0.916666667,0.046188022,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
SP CS,0.95,0.91,0.71,0.856666667,0.12858201,0.725866186,0.414780678,-1.140646864,0.311085508,1.555427542
PP CS,0.82,1.18,0.18,0.726666667,0.506491198,0.184274344,0.895046815,-1.079321159,0.710772471,1.974367974
CC VS,0.91,0.91,0.71,0.843333333,0.115470054,0.577350269,0.577350269,-1.154700538,0,1.732050808
RG RN,0.82,1.03,0.54,0.796666667,0.245831921,0.0949158,0.949157996,-1.044073795,0.854242196,1.993231791
CS NP,0.76,1,1.25,1.003333333,0.245017006,-0.993128343,-0.013604498,1.006732841,0.979523845,1.020337338
AQ VS,1.06,0.67,0.71,0.813333333,0.214553801,1.149672791,-0.668053108,-0.481619683,1.817725899,0.186433426
NP PP,0.89,0.82,0.89,0.866666667,0.040414519,0.577350269,-1.154700538,0.577350269,1.732050808,1.732050808
AQ RN,0.87,0.76,0.89,0.84,0.07,0.428571429,-1.142857143,0.714285714,1.571428571,1.857142857
PP PP,1.09,0.55,0.18,0.606666667,0.457638868,1.056145724,-0.123823981,-0.932321742,1.179969705,0.808497761
CC PR,0.87,0.85,0.18,0.633333333,0.392725519,0.602626148,0.551699994,-1.154326142,0.050926153,1.706026136
RN P0,0.8,0.82,0.71,0.776666667,0.058594653,0.398216087,0.739544161,-1.137760248,0.341328074,1.877304409
PI VM,0.95,0.61,0.54,0.7,0.219317122,1.139901881,-0.410364677,-0.729537204,1.550266559,0.319172527
NC DI,0.82,0.76,0.71,0.763333333,0.055075705,1.028886806,-0.060522753,-0.968364052,1.089409559,0.907841299
Z NC,0.89,0.64,0.89,0.806666667,0.144337567,0.577350269,-1.154700538,0.577350269,1.732050808,1.732050808
NP DP,0.73,0.79,0.71,0.743333333,0.04163332,-0.320256308,1.120897077,-0.800640769,1.441153384,1.921537846
PR VS,0.78,0.64,1.07,0.83,0.219317122,-0.227980376,-0.86632543,1.094305806,0.638345054,1.960631236
NP RG,0.82,0.67,0.54,0.676666667,0.140118997,1.022940046,-0.047578607,-0.97536144,1.070518653,0.927782833
CS AQ,0.42,0.82,2.84,1.36,1.297227813,-0.724622144,-0.416272296,1.14089444,0.308349849,1.557166736
CC DI,0.73,0.7,1.07,0.833333333,0.205507502,-0.502820249,-0.648800322,1.151620571,0.145980072,1.800420893
PR P0,0.76,0.67,0.71,0.713333333,0.045092498,1.034909779,-0.960987652,-0.073922127,1.995897432,0.887065525
I AQ,0.67,0.79,0.71,0.723333333,0.061101009,-0.872871561,1.091089451,-0.21821789,1.963961012,1.309307341
VS DP,0.76,0.64,0.71,0.703333333,0.060277138,0.940102148,-1.050702401,0.110600253,1.990804549,1.161302654
CS P0,0.67,0.79,0.18,0.546666667,0.323161466,0.381646162,0.752977563,-1.134623725,0.371331401,1.887601288
DI DA,0.67,0.73,0.18,0.526666667,0.301717307,0.475058374,0.673920019,-1.148978393,0.198861645,1.822898413
PR NP,0.76,0.58,0.18,0.506666667,0.296872588,0.853340267,0.247019551,-1.100359818,0.606320716,1.347379369
RG VS,0.58,0.64,1.07,0.763333333,0.26727015,-0.685947656,-0.461455696,1.147403352,0.22449196,1.608859049
PP CC,0.71,0.55,0.36,0.54,0.175214155,0.970241247,0.057073015,-1.027314262,0.913168233,1.084387277
PI SP,0.56,0.61,1.07,0.746666667,0.281128678,-0.663990128,-0.48613563,1.150125758,0.177854499,1.636261388
PP DP,0.69,0.49,0.71,0.63,0.121655251,0.493196962,-1.150792911,0.657595949,1.643989873,1.80838886
RG P0,0.64,0.55,0.54,0.576666667,0.055075705,1.149932312,-0.484182026,-0.665750286,1.634114338,0.18156826
VS CS,0.69,0.43,0.71,0.61,0.156204994,0.51214752,-1.152331919,0.6401844,1.664479439,1.792516319
P0 SP,0.53,0.7,0.36,0.53,0.17,6.53072E-16,1,-1,1,2
PR AQ,0.42,0.76,0.89,0.69,0.242693222,-1.112515619,0.288429975,0.824085643,1.400945594,0.535655668
NC PT,0.62,0.37,1.42,0.803333333,0.548482756,-0.334255419,-0.790058263,1.124313682,0.455802844,1.914371945
I NC,0.64,0.37,1.25,0.753333333,0.450814078,-0.251397059,-0.850313581,1.101710639,0.598916522,1.95202422
AP CC,0.49,0.76,0.18,0.476666667,0.290229794,0.045940608,0.97623793,-1.022178538,0.930297322,1.998416468
PP VS,0.58,0.58,0.18,0.446666667,0.230940108,0.577350269,0.577350269,-1.154700538,0,1.732050808
CS DI,0.62,0.46,0.54,0.54,0.08,1,-1,0,2,1
PP RN,0.67,0.43,0.18,0.426666667,0.245017006,0.993128343,0.013604498,-1.006732841,0.979523845,1.020337338
VM I,0.49,0.55,0.71,0.583333333,0.113724814,-0.820694534,-0.293105191,1.113799725,0.527589344,1.406904916
SP PD,0.49,0.52,0.71,0.573333333,0.119303534,-0.698498445,-0.447039005,1.14553745,0.25145944,1.592576455
SP PI,0.53,0.4,1.07,0.666666667,0.355293306,-0.384658715,-0.750553591,1.135212306,0.365894876,1.885765897
AP SP,0.62,0.31,0.36,0.43,0.16643317,1.141599359,-0.721010122,-0.420589238,1.862609481,0.300420884
DT NC,0.47,0.55,0.18,0.4,0.194679223,0.359565848,0.770498245,-1.130064093,0.410932398,1.900562339
VM PT,0.47,0.46,0.71,0.546666667,0.141539158,-0.541664,-0.612315826,1.153979826,0.070651826,1.766295653
RG PR,0.53,0.43,0.36,0.44,0.085440037,1.053370325,-0.117041147,-0.936329178,1.170411472,0.81928803
CC CC,0.42,0.46,1.07,0.65,0.364280112,-0.631382259,-0.521576649,1.152958908,0.10980561,1.674535556
NC I,0.47,0.43,0.71,0.536666667,0.151437556,-0.440225453,-0.704360725,1.144586178,0.264135272,1.848946903
VM PI,0.4,0.52,0.71,0.543333333,0.156311655,-0.916971507,-0.149274431,1.066245938,0.767697075,1.215520369
PP NP,0.56,0.4,0.18,0.38,0.19078784,0.943456353,0.104828484,-1.048284837,0.838627869,1.15311332
DD DP,0.45,0.58,0,0.343333333,0.304357246,0.350465343,0.77759498,-1.128060322,0.427129637,1.905655302
AQ P0,0.4,0.46,0.89,0.583333333,0.26727015,-0.685947656,-0.461455696,1.147403352,0.22449196,1.608859049
PP PR,0.49,0.46,0.18,0.376666667,0.170977581,0.662854934,0.487393333,-1.150248267,0.1754616,1.6376416
NP VS,0.45,0.43,0.71,0.53,0.156204994,-0.51214752,-0.6401844,1.152331919,0.12803688,1.792516319
RG NP,0.45,0.37,1.07,0.63,0.383144881,-0.469796176,-0.678594476,1.148390652,0.2087983,1.826985128
NP NP,0.31,0.58,0.71,0.533333333,0.204042479,-1.094543323,0.228710545,0.865832778,1.323253869,0.637122233
CC P0,0.36,0.61,0.18,0.383333333,0.215947524,-0.108050941,1.049637717,-0.941586776,1.157688659,1.991224493
P0 PP,0.42,0.43,0.54,0.463333333,0.066583281,-0.650814027,-0.500626174,1.151440201,0.150187852,1.652066375
DA AP,0.4,0.52,0.18,0.366666667,0.172433562,0.193311168,0.889231374,-1.082542542,0.695920206,1.971773916
NC PI,0.38,0.55,0,0.31,0.281602557,0.248577288,0.852264989,-1.100842278,0.603687701,1.953107267
CC I,0.42,0.43,0.36,0.403333333,0.037859389,0.440225453,0.704360725,-1.144586178,0.264135272,1.848946903
NP AP,0.45,0.46,0,0.303333333,0.262741952,0.558215639,0.596275796,-1.154491436,0.038060157,1.750767232
PT PP,0.4,0.46,0.18,0.346666667,0.147422296,0.361772505,0.768766574,-1.130539079,0.406994068,1.899305653
DI DP,0.56,0.25,0,0.27,0.280535203,1.033738358,-0.071292301,-0.962446058,1.105030659,0.891153757
NC DD,0.42,0.34,0.36,0.373333333,0.04163332,1.120897077,-0.800640769,-0.320256308,1.921537846,0.480384461
SP Z,0.4,0.34,0.36,0.366666667,0.030550505,1.091089451,-0.872871561,-0.21821789,1.963961012,0.654653671
RN SP,0.23,0.46,0.89,0.526666667,0.335012438,-0.885539262,-0.198997587,1.084536849,0.686541675,1.283534436
SP RN,0.42,0.25,0.54,0.403333333,0.14571662,0.114377253,-1.052270725,0.937893472,1.166647978,1.990164197
SP VS,0.47,0.19,0.54,0.4,0.185202592,0.377964473,-1.133893419,0.755928946,1.511857892,1.889822365
AP VM,0.36,0.34,0.36,0.353333333,0.011547005,0.577350269,-1.154700538,0.577350269,1.732050808,1.732050808
RG DI,0.27,0.4,0.54,0.403333333,0.135030861,-0.987428597,-0.024685715,1.012114312,0.962742882,1.036800027
PR DP,0.36,0.31,0.36,0.343333333,0.028867513,0.577350269,-1.154700538,0.577350269,1.732050808,1.732050808
NP P0,0.34,0.28,0.54,0.386666667,0.136137186,-0.342791475,-0.783523371,1.126314846,0.440731896,1.909838217
PD PR,0.29,0.34,0.54,0.39,0.132287566,-0.755928946,-0.377964473,1.133893419,0.377964473,1.511857892
DA SP,0.38,0.19,0.71,0.426666667,0.263122278,-0.177357337,-0.899455068,1.076812405,0.722097731,1.976267473
PD VM,0.36,0.31,0,0.223333333,0.195021366,0.700777916,0.444395752,-1.145173667,0.256382164,1.589569419
AO NC,0.18,0.49,0.36,0.343333333,0.155670592,-1.049224075,0.942160394,0.107063681,1.991384469,0.835096713
P0 DA,0.42,0.16,0.36,0.313333333,0.136137186,0.783523371,-1.126314846,0.342791475,1.909838217,1.469106321
PD VS,0.27,0.34,0.36,0.323333333,0.047258156,-1.128552985,0.352672808,0.775880177,1.481225793,0.42320737
CC PT,0.4,0.19,0.18,0.256666667,0.124230968,1.153764927,-0.53663485,-0.617130077,1.690399776,0.080495227
CS PR,0.29,0.31,0.18,0.26,0.07,0.428571429,0.714285714,-1.142857143,0.285714286,1.857142857
PP P0,0.31,0.22,0.54,0.356666667,0.165025251,-0.282785007,-0.828156092,1.110941099,0.545371085,1.939097192
CC DD,0.27,0.28,0.36,0.303333333,0.049328829,-0.675737378,-0.473016165,1.148753543,0.202721214,1.621769708
VS DD,0.25,0.34,0,0.196666667,0.176162803,0.302750253,0.813641305,-1.116391558,0.510891052,1.930032863
RN AQ,0.34,0.19,0.18,0.236666667,0.089628864,1.152902405,-0.520665602,-0.632236803,1.673568007,0.1115712
CS DD,0.09,0.46,0.54,0.363333333,0.240069434,-1.138559492,0.402661284,0.735898208,1.541220776,0.333236925
CC PI,0.36,0.16,0.18,0.233333333,0.110151411,1.149932312,-0.665750286,-0.484182026,1.815682598,0.18156826
VM PD,0.2,0.34,0.36,0.3,0.087177979,-1.147078669,0.458831468,0.688247202,1.605910137,0.229415734
DA AO,0.12,0.31,1.07,0.5,0.502692749,-0.755928946,-0.377964473,1.133893419,0.377964473,1.511857892
CC PD,0.16,0.34,0.54,0.346666667,0.190087699,-0.982002873,-0.035071531,1.017074405,0.946931342,1.052145936
PI CC,0.14,0.34,0.71,0.396666667,0.289194283,-0.887523308,-0.195946704,1.083470012,0.691576603,1.279416716
DI VM,0.23,0.31,0.18,0.24,0.065574385,-0.15249857,1.067489992,-0.914991422,1.219988563,1.982481414
PP VA,0.34,0.13,0.18,0.216666667,0.109696551,1.124313682,-0.790058263,-0.334255419,1.914371945,0.455802844
NP RN,0.16,0.34,0.36,0.286666667,0.110151411,-1.149932312,0.484182026,0.665750286,1.634114338,0.18156826
DP RG,0.29,0.22,0,0.17,0.15132746,0.792982321,0.3304093,-1.123391621,0.46257302,1.453800921
I CS,0.29,0.16,0.36,0.27,0.101488916,0.197065856,-1.083862206,0.88679635,1.280928062,1.970658556
PD SP,0.2,0.28,0.18,0.22,0.052915026,-0.377964473,1.133893419,-0.755928946,1.511857892,1.889822365
PT DA,0.14,0.31,0.54,0.33,0.200748599,-0.946457415,-0.099627096,1.046084511,0.846830318,1.145711607
NC VA,0.25,0.25,0,0.166666667,0.144337567,0.577350269,0.577350269,-1.154700538,0,1.732050808
AP CS,0.2,0.31,0,0.17,0.157162336,0.190885429,0.890798668,-1.081684097,0.699913239,1.972482765
CS CC,0.14,0.25,0.89,0.426666667,0.405010288,-0.70780095,-0.436202911,1.144003861,0.271598039,1.580206773
DA PI,0.18,0.22,0.71,0.37,0.295127091,-0.64379044,-0.508255611,1.152046051,0.13553483,1.660301662
VS CC,0.29,0.13,0.18,0.2,0.081853528,1.099524999,-0.85518611,-0.244338889,1.95471111,0.610847222
DE NC,0.16,0.34,0,0.166666667,0.170098011,-0.03919309,1.019020342,-0.979827252,1.058213432,1.998847594
NC PD,0.2,0.25,0,0.15,0.132287566,0.377964473,0.755928946,-1.133893419,0.377964473,1.889822365
PI PP,0.31,0.1,0,0.136666667,0.158219257,1.095526148,-0.231745916,-0.863780232,1.327272064,0.632034316
PI RG,0.25,0.16,0.18,0.196666667,0.047258156,1.128552985,-0.775880177,-0.352672808,1.904433163,0.42320737
PT RN,0.18,0.22,0.36,0.253333333,0.094516313,-0.775880177,-0.352672808,1.128552985,0.42320737,1.481225793
PD CS,0.18,0.25,0.18,0.203333333,0.040414519,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
RN NC,0.27,0.16,0,0.143333333,0.135769412,0.932954371,0.122757154,-1.055711525,0.810197217,1.178468679
PT VS,0.29,0.1,0.18,0.19,0.09539392,1.048284837,-0.943456353,-0.104828484,1.99174119,0.838627869
NP DI,0.18,0.22,0.36,0.253333333,0.094516313,-0.775880177,-0.352672808,1.128552985,0.42320737,1.481225793
CS PI,0.16,0.28,0,0.146666667,0.140475383,0.0949158,0.949157996,-1.044073795,0.854242196,1.993231791
VM Z,0.27,0.1,0.18,0.183333333,0.085049005,1.019020342,-0.979827252,-0.03919309,1.998847594,0.940634162
AQ DI,0.16,0.25,0.18,0.196666667,0.047258156,-0.775880177,1.128552985,-0.352672808,1.904433163,1.481225793
DI CC,0.18,0.16,0.54,0.293333333,0.213853532,-0.529957733,-0.623479686,1.15343742,0.093521953,1.776917106
RN RG,0.18,0.19,0.36,0.243333333,0.101159939,-0.626071286,-0.527217925,1.153289211,0.098853361,1.680507136
AP AQ,0.23,0.19,0,0.14,0.122882057,0.732409613,0.406894229,-1.139303842,0.325515384,1.546198072
DI NP,0.09,0.19,0.89,0.39,0.435889894,-0.688247202,-0.458831468,1.147078669,0.229415734,1.605910137
I RG,0.2,0.1,0.54,0.28,0.230651252,-0.346843988,-0.780398973,1.12724296,0.433554985,1.907641933
PT SP,0.25,0.1,0.18,0.176666667,0.075055535,0.977054302,-1.021465861,0.044411559,1.998520163,1.06587742
VS PP,0.23,0.16,0,0.13,0.117898261,0.84818893,0.254456679,-1.102645609,0.593732251,1.357102287
PI VS,0.16,0.25,0,0.136666667,0.126622799,0.184274344,0.895046815,-1.079321159,0.710772471,1.974367974
RN DA,0.18,0.1,0.54,0.273333333,0.234378611,-0.398216087,-0.739544161,1.137760248,0.341328074,1.877304409
AQ PT,0.18,0.19,0,0.123333333,0.106926766,0.529957733,0.623479686,-1.15343742,0.093521953,1.776917106
VS DI,0.23,0.1,0,0.11,0.115325626,1.040531963,-0.086710997,-0.953820966,1.12724296,0.86710997
CS PD,0.16,0.19,0,0.116666667,0.10214369,0.424238967,0.717942866,-1.142181833,0.2937039,1.8601247
I NP,0.2,0.1,0.18,0.16,0.052915026,0.755928946,-1.133893419,0.377964473,1.889822365,1.511857892
PI PR,0.14,0.19,0.18,0.17,0.026457513,-1.133893419,0.755928946,0.377964473,1.889822365,0.377964473
AQ DD,0.12,0.25,0,0.123333333,0.125033329,-0.026659558,1.013063219,-0.986403661,1.039722778,1.99946688
DD NP,0.14,0.16,0.36,0.22,0.121655251,-0.657595949,-0.493196962,1.150792911,0.164398987,1.643989873
VS PD,0.16,0.19,0,0.116666667,0.10214369,0.424238967,0.717942866,-1.142181833,0.2937039,1.8601247
VS NP,0.2,0.1,0.18,0.16,0.052915026,0.755928946,-1.133893419,0.377964473,1.889822365,1.511857892
AQ I,0.2,0.07,0.18,0.15,0.07,0.714285714,-1.142857143,0.428571429,1.857142857,1.571428571
DA DI,0.12,0.16,0.36,0.213333333,0.12858201,-0.725866186,-0.414780678,1.140646864,0.311085508,1.555427542
VS PR,0.12,0.22,0,0.113333333,0.110151411,0.060522753,0.968364052,-1.028886806,0.907841299,1.997250858
RG DD,0.07,0.28,0,0.116666667,0.14571662,-0.320256308,1.120897077,-0.800640769,1.441153384,1.921537846
AP PR,0.16,0.13,0,0.096666667,0.085049005,0.744668712,0.391930901,-1.136599612,0.352737811,1.528530513
AP RN,0.18,0.1,0,0.093333333,0.090184995,0.960987652,0.073922127,-1.034909779,0.887065525,1.108831906
AP RG,0.09,0.19,0.18,0.153333333,0.055075705,-1.149932312,0.665750286,0.484182026,1.815682598,0.18156826
PP I,0.12,0.13,0.36,0.203333333,0.135769412,-0.61378577,-0.540131478,1.153917248,0.073654292,1.694048726
PP DI,0.18,0.1,0,0.093333333,0.090184995,0.960987652,0.073922127,-1.034909779,0.887065525,1.108831906
DD PR,0.09,0.19,0.18,0.153333333,0.055075705,-1.149932312,0.665750286,0.484182026,1.815682598,0.18156826
PI AQ,0.16,0.13,0,0.096666667,0.085049005,0.744668712,0.391930901,-1.136599612,0.352737811,1.528530513
PD RG,0.16,0.13,0,0.096666667,0.085049005,0.744668712,0.391930901,-1.136599612,0.352737811,1.528530513
RN VA,0.18,0.1,0,0.093333333,0.090184995,0.960987652,0.073922127,-1.034909779,0.887065525,1.108831906
SP SP,0.12,0.07,0.71,0.3,0.355949435,-0.505689804,-0.646159195,1.151848999,0.14046939,1.798008194
NP DD,0.14,0.13,0.18,0.15,0.026457513,-0.377964473,-0.755928946,1.133893419,0.377964473,1.889822365
NC Z,0.16,0.07,0.18,0.136666667,0.058594653,0.398216087,-1.137760248,0.739544161,1.535976335,1.877304409
PT RG,0.16,0.04,0.36,0.186666667,0.161658075,-0.16495722,-0.907264709,1.072221928,0.742307489,1.979486637
Z AQ,0.16,0.1,0,0.086666667,0.080829038,0.907264709,0.16495722,-1.072221928,0.742307489,1.237179148
I I,0.18,0.04,0.18,0.133333333,0.080829038,0.577350269,-1.154700538,0.577350269,1.732050808,1.732050808
RG PI,0.18,0.07,0,0.083333333,0.090737717,1.06534162,-0.146943672,-0.918397948,1.212285291,0.771454276
PI CS,0.09,0.16,0.18,0.143333333,0.047258156,-1.128552985,0.352672808,0.775880177,1.481225793,0.42320737
P0 RG,0.14,0.07,0.18,0.13,0.055677644,0.179605302,-1.077631812,0.89802651,1.257237114,1.975658322
VS AP,0.12,0.13,0,0.083333333,0.072341781,0.506853245,0.645085949,-1.151939194,0.138232703,1.797025143
PP PI,0.18,0.04,0,0.073333333,0.094516313,1.128552985,-0.352672808,-0.775880177,1.481225793,0.42320737
PR VA,0.12,0.04,0.54,0.233333333,0.268576494,-0.421977856,-0.719844578,1.141822435,0.297866722,1.861667013
I PP,0.16,0.04,0.18,0.126666667,0.075718778,0.440225453,-1.144586178,0.704360725,1.584811631,1.848946903
I PT,0.12,0.13,0,0.083333333,0.072341781,0.506853245,0.645085949,-1.151939194,0.138232703,1.797025143
AQ AP,0.03,0.25,0,0.093333333,0.136503968,-0.463966976,1.147707783,-0.683740807,1.611674759,1.831448589
I VM,0.12,0.13,0,0.083333333,0.072341781,0.506853245,0.645085949,-1.151939194,0.138232703,1.797025143
PI P0,0.09,0.13,0.18,0.133333333,0.045092498,-0.960987652,-0.073922127,1.034909779,0.887065525,1.108831906
NC AO,0.09,0.16,0,0.083333333,0.080208063,0.083117163,0.95584738,-1.038964544,0.872730217,1.994811924
PD DP,0.03,0.25,0,0.093333333,0.136503968,-0.463966976,1.147707783,-0.683740807,1.611674759,1.831448589
PD PP,0.09,0.16,0,0.083333333,0.080208063,0.083117163,0.95584738,-1.038964544,0.872730217,1.994811924
DI SP,0.14,0.07,0,0.07,0.07,1,0,-1,1,1
RN CS,0.09,0.1,0.18,0.123333333,0.049328829,-0.675737378,-0.473016165,1.148753543,0.202721214,1.621769708
P0 VA,0.09,0.13,0,0.073333333,0.066583281,0.250313087,0.851064496,-1.101377584,0.600751409,1.95244208
DA CC,0.14,0.04,0.18,0.12,0.072111026,0.277350098,-1.109400392,0.832050294,1.386750491,1.941450687
NP I,0.09,0.13,0,0.073333333,0.066583281,0.250313087,0.851064496,-1.101377584,0.600751409,1.95244208
DA Z,0.09,0.04,0.54,0.223333333,0.275378527,-0.484182026,-0.665750286,1.149932312,0.18156826,1.815682598
SP DT,0.12,0.1,0,0.073333333,0.064291005,0.725866186,0.414780678,-1.140646864,0.311085508,1.555427542
DD VM,0.12,0.07,0.18,0.123333333,0.055075705,-0.060522753,-0.968364052,1.028886806,0.907841299,1.997250858
PP DD,0.07,0.1,0.36,0.176666667,0.159478316,-0.66884746,-0.480734112,1.149581571,0.188113348,1.630315683
PT AQ,0.07,0.16,0,0.076666667,0.080208063,-0.083117163,1.038964544,-0.95584738,1.122081707,1.994811924
I DP,0.07,0.16,0,0.076666667,0.080208063,-0.083117163,1.038964544,-0.95584738,1.122081707,1.994811924
DE AQ,0.05,0.19,0,0.08,0.098488578,-0.30460385,1.116880782,-0.812276932,1.421484631,1.929157714
Z VM,0.14,0,0.18,0.106666667,0.094516313,0.352672808,-1.128552985,0.775880177,1.481225793,1.904433163
AP PP,0.14,0.04,0,0.06,0.072111026,1.109400392,-0.277350098,-0.832050294,1.386750491,0.554700196
AQ PD,0.05,0.13,0.18,0.12,0.065574385,-1.067489992,0.15249857,0.914991422,1.219988563,0.762492852
CC Z,0.07,0.13,0,0.066666667,0.065064071,0.051231552,0.973399487,-1.024631039,0.922167935,1.998030526
PP PT,0.07,0.13,0,0.066666667,0.065064071,0.051231552,0.973399487,-1.024631039,0.922167935,1.998030526
RG VA,0.12,0.04,0.18,0.113333333,0.070237692,0.0949158,-1.044073795,0.949157996,1.138989595,1.993231791
I PR,0.05,0.16,0,0.07,0.081853528,-0.244338889,1.099524999,-0.85518611,1.343863888,1.95471111
I SP,0.12,0.07,0,0.063333333,0.060277138,0.940102148,0.110600253,-1.050702401,0.829501895,1.161302654
DD SP,0.05,0.1,0.36,0.17,0.16643317,-0.721010122,-0.420589238,1.141599359,0.300420884,1.562188597
DA RN,0.07,0.07,0.36,0.166666667,0.167431578,-0.577350269,-0.577350269,1.154700538,0,1.732050808
P0 NC,0.12,0.07,0,0.063333333,0.060277138,0.940102148,0.110600253,-1.050702401,0.829501895,1.161302654
AQ PI,0.05,0.13,0,0.06,0.065574385,-0.15249857,1.067489992,-0.914991422,1.219988563,1.982481414
DI RG,0.09,0.04,0.18,0.103333333,0.070945989,-0.187936394,-0.892697873,1.080634267,0.704761479,1.97333214
PT DP,0.09,0.04,0.18,0.103333333,0.070945989,-0.187936394,-0.892697873,1.080634267,0.704761479,1.97333214
NP VA,0.09,0.04,0.18,0.103333333,0.070945989,-0.187936394,-0.892697873,1.080634267,0.704761479,1.97333214
PT P0,0.09,0.07,0,0.053333333,0.047258156,0.775880177,0.352672808,-1.128552985,0.42320737,1.481225793
NC DT,0.07,0.1,0,0.056666667,0.051316014,0.259827921,0.844440743,-1.104268664,0.584612822,1.948709407
P0 CC,0.07,0.07,0.18,0.106666667,0.06350853,-0.577350269,-0.577350269,1.154700538,0,1.732050808
VS PI,0.07,0.1,0,0.056666667,0.051316014,0.259827921,0.844440743,-1.104268664,0.584612822,1.948709407
CS VA,0.09,0.07,0,0.053333333,0.047258156,0.775880177,0.352672808,-1.128552985,0.42320737,1.481225793
PR CC,0.12,0.04,0,0.053333333,0.061101009,1.091089451,-0.21821789,-0.872871561,1.309307341,0.654653671
PD NP,0.07,0.1,0,0.056666667,0.051316014,0.259827921,0.844440743,-1.104268664,0.584612822,1.948709407
AP VS,0.07,0.1,0,0.056666667,0.051316014,0.259827921,0.844440743,-1.104268664,0.584612822,1.948709407
PR PI,0.05,0.04,0.36,0.15,0.181934054,-0.54964971,-0.604614681,1.154264391,0.054964971,1.758879072
VM VA,0.05,0.07,0.18,0.1,0.07,-0.714285714,-0.428571429,1.142857143,0.285714286,1.571428571
VA VS,0.09,0.04,0,0.043333333,0.045092498,1.034909779,-0.073922127,-0.960987652,1.108831906,0.887065525
AP P0,0.12,0,0,0.04,0.069282032,1.154700538,-0.577350269,-0.577350269,1.732050808,0
AP NP,0.05,0.1,0,0.05,0.05,-1.38778E-16,1,-1,1,2
RG I,0.07,0.07,0,0.046666667,0.040414519,0.577350269,0.577350269,-1.154700538,0,1.732050808
AO NP,0,0.13,0.18,0.103333333,0.092915732,-1.112118805,0.286998401,0.825120404,1.399117207,0.538122003
PT NP,0.07,0.04,0.18,0.096666667,0.073711148,-0.361772505,-0.768766574,1.130539079,0.406994068,1.899305653
VM DT,0.05,0.1,0,0.05,0.05,-1.38778E-16,1,-1,1,2
VS RN,0.07,0.07,0,0.046666667,0.040414519,0.577350269,0.577350269,-1.154700538,0,1.732050808
PD DA,0.07,0.07,0,0.046666667,0.040414519,0.577350269,0.577350269,-1.154700538,0,1.732050808
RG PT,0.09,0,0.18,0.09,0.09,-1.54198E-16,-1,1,1,2
DP CC,0.03,0.1,0.18,0.103333333,0.075055535,-0.977054302,-0.044411559,1.021465861,0.932642743,1.06587742
DP AO,0.05,0.07,0.18,0.1,0.07,-0.714285714,-0.428571429,1.142857143,0.285714286,1.571428571
DD DA,0.03,0.1,0.18,0.103333333,0.075055535,-0.977054302,-0.044411559,1.021465861,0.932642743,1.06587742
PR CS,0.07,0.07,0,0.046666667,0.040414519,0.577350269,0.577350269,-1.154700538,0,1.732050808
PR DI,0.12,0,0,0.04,0.069282032,1.154700538,-0.577350269,-0.577350269,1.732050808,0
SP VA,0.09,0.04,0,0.043333333,0.045092498,1.034909779,-0.073922127,-0.960987652,1.108831906,0.887065525
SP AO,0.03,0.07,0.18,0.093333333,0.077674535,-0.815368043,-0.300398753,1.115766796,0.514969291,1.416165549
DA DP,0.07,0.04,0,0.036666667,0.035118846,0.949157996,0.0949158,-1.044073795,0.854242196,1.138989595
AP NC,0.03,0.1,0,0.043333333,0.051316014,-0.259827921,1.104268664,-0.844440743,1.364096585,1.948709407
NP PI,0.05,0.04,0.18,0.09,0.078102497,-0.51214752,-0.6401844,1.152331919,0.12803688,1.792516319
AP DP,0.05,0.07,0,0.04,0.036055513,0.277350098,0.832050294,-1.109400392,0.554700196,1.941450687
AO CC,0.03,0.07,0.18,0.093333333,0.077674535,-0.815368043,-0.300398753,1.115766796,0.514969291,1.416165549
DI CS,0.07,0.04,0,0.036666667,0.035118846,0.949157996,0.0949158,-1.044073795,0.854242196,1.138989595
PD CC,0.03,0.1,0,0.043333333,0.051316014,-0.259827921,1.104268664,-0.844440743,1.364096585,1.948709407
NC DE,0,0.13,0,0.043333333,0.075055535,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
RG PD,0.07,0.04,0,0.036666667,0.035118846,0.949157996,0.0949158,-1.044073795,0.854242196,1.138989595
VA PR,0.03,0.1,0,0.043333333,0.051316014,-0.259827921,1.104268664,-0.844440743,1.364096585,1.948709407
PD RN,0.07,0.04,0,0.036666667,0.035118846,0.949157996,0.0949158,-1.044073795,0.854242196,1.138989595
CC DT,0.03,0.1,0,0.043333333,0.051316014,-0.259827921,1.104268664,-0.844440743,1.364096585,1.948709407
CC AO,0.03,0.07,0,0.033333333,0.035118846,-0.0949158,1.044073795,-0.949157996,1.138989595,1.993231791
AO SP,0.05,0.04,0,0.03,0.026457513,0.755928946,0.377964473,-1.133893419,0.377964473,1.511857892
