Bigrama, Herrera (freq. relat.), P2 (freq. relat.),Pacheco (freq. relat.),Media,SD,Herrera (z-score),P2 (z-score),Pacheco (z-score),P2 vs Herrera,P2 vs Pacheco
DA I,0,0,0.18,0.06,0.103923048,-0.577350269,-0.577350269,1.154700538,0,1.732050808
DP SP,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
AP DT,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
PR Z,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
AP DD,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
AP DI,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
Z CC,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
I VS,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
PT NC,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
Z CS,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
AP AO,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
VS VA,0,0,0.18,0.06,0.103923048,-0.577350269,-0.577350269,1.154700538,0,1.732050808
PP Z,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
Z DA,0,0,0.18,0.06,0.103923048,-0.577350269,-0.577350269,1.154700538,0,1.732050808
PP DT,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
DI AP,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
RN PR,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
PP AO,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
PT VA,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
VA DA,0,0.04,0,0.013333333,0.023094011,-0.577350269,1.154700538,-0.577350269,1.732050808,1.732050808
RN PT,0.03,0,0,0.01,0.017320508,1.154700538,-0.577350269,-0.577350269,1.732050808,0
